날짜,대분류,소분류,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
2019-07-01,식품,가공란,18,40,19,41,28,44,16,12,5,3
2019-07-01,식품,가자미,,1,3,11,2,2,2,3,,
2019-07-01,식품,갈비/찜/바비큐용 돈육,2,1,4,3,,7,1,3,,
2019-07-01,식품,갈비용 우육,1,,1,3,1,1,,,,
2019-07-01,식품,갈치,,6,7,23,12,21,5,13,3,8
2019-07-01,식품,감/홍시,,,1,,,5,2,4,,
2019-07-01,식품,감귤/한라봉/오렌지,3,19,45,144,75,100,11,28,3,8
2019-07-01,식품,감마리놀렌산 영양제,1,6,4,2,4,12,1,6,1,3
2019-07-01,식품,감말랭이,,1,,4,1,2,,,,
2019-07-01,식품,감자,18,41,28,57,40,63,26,57,4,19
2019-07-01,식품,갓김치,2,6,1,9,3,31,11,28,2,7
2019-07-01,식품,건강즙,3,9,10,22,14,36,9,8,3,3
2019-07-01,식품,건강즙/녹용,,9,12,31,15,27,5,14,3,4
2019-07-01,식품,건대추,,,3,8,,3,1,3,,1
2019-07-01,식품,건망고,1,2,1,2,1,4,,2,,
2019-07-01,식품,건바나나,3,1,2,5,1,2,,,,1
2019-07-01,식품,건어물 건새우,,1,,1,2,,,,,
2019-07-01,식품,건어물 노가리,,1,2,,2,2,,1,,
2019-07-01,식품,건어물 마른오징어,4,22,26,78,27,47,9,26,1,7
2019-07-01,식품,건어물 멸치,,1,7,15,9,14,3,8,3,4
2019-07-01,식품,건어물 쥐포,,7,9,26,23,61,5,26,3,5
2019-07-01,식품,건어물 진미채,1,,6,21,6,16,,9,3,3
2019-07-01,식품,건어물 황태,1,5,6,17,8,20,2,6,,1
2019-07-01,식품,건자두,6,6,10,30,21,32,9,32,1,6
2019-07-01,식품,건포도,1,5,2,2,1,5,1,1,1,1
2019-07-01,식품,게장류,8,17,23,22,15,23,8,5,2,1
2019-07-01,식품,견과류,,22,18,59,39,53,17,27,4,6
2019-07-01,식품,견과류 땅콩,3,,4,9,6,7,3,6,,5
2019-07-01,식품,견과류 마카다미아,,2,,5,4,7,2,,,
2019-07-01,식품,견과류 밤,1,10,15,29,14,25,8,16,,
2019-07-01,식품,견과류 잣/은행,,,1,9,6,11,6,16,6,10
2019-07-01,식품,견과류 카카오닙스,,5,3,1,4,8,3,4,1,
2019-07-01,식품,견과류 캐슈넛,1,6,3,6,3,5,1,2,,
2019-07-01,식품,견과류 피스타치오,,3,1,2,1,2,2,4,,3
2019-07-01,식품,견과류 호두,3,4,3,29,8,25,5,8,5,3
2019-07-01,식품,계란,2,10,26,80,33,57,5,22,2,3
2019-07-01,식품,고등어,8,15,42,54,40,88,21,65,8,20
2019-07-01,식품,고추/피망/파프리카,1,11,18,31,14,45,5,23,4,7
2019-07-01,식품,곡물차,4,5,6,12,9,15,3,7,2,2
2019-07-01,냉난방가전,공기정화 용품,7,12,37,25,33,10,24,11,3,7
2019-07-01,냉난방가전,공기청정기,3,4,57,20,7,6,7,4,7,1
2019-07-01,식품,곶감/반건시,,1,2,5,2,,,1,,
2019-07-01,식품,과실차,5,3,9,13,10,15,5,8,2,4
2019-07-01,식품,과일류,6,23,15,53,53,125,23,88,11,34
2019-07-01,식품,과일세트,,,1,2,2,,2,,,
2019-07-01,식품,과일채소 분말/분태,,1,,,,,,,,
2019-07-01,식품,과채 음료/주스,14,73,67,132,59,151,33,72,11,16
2019-07-01,식품,구이/수육용 돈육,,,1,1,,1,,,1,
2019-07-01,식품,국내산 돈육,1,5,7,10,10,11,2,6,1,
2019-07-01,식품,굴 생물,,1,,,1,,,,,
2019-07-01,식품,굴비/조기,,,2,11,11,9,1,9,5,
2019-07-01,식품,글루코사민/키토산 영양제,,,5,14,6,10,6,3,2,
2019-07-01,뷰티,기능성 링클케어 화장품,,,,,,1,,,,
2019-07-01,뷰티,기능성 모공관리 화장품,7,18,6,5,3,4,1,3,,
2019-07-01,뷰티,기능성 아이케어 화장품,3,40,22,77,31,93,18,39,3,6
2019-07-01,뷰티,기능성 영양보습 화장품,1,5,1,3,4,5,1,2,1,
2019-07-01,뷰티,기능성 트러블케어 화장품,11,39,5,12,3,20,3,6,,
2019-07-01,뷰티,기능성 화장품 세트,2,2,1,1,1,4,,,,1
2019-07-01,뷰티,기초 화장용 로션,39,100,67,149,42,104,23,30,10,9
2019-07-01,뷰티,기초 화장용 미스트,9,29,11,61,6,31,5,10,,1
2019-07-01,뷰티,기초 화장용 스킨,37,159,61,196,49,144,29,55,7,10
2019-07-01,뷰티,기초 화장용 에센스,67,168,71,293,74,289,35,136,15,19
2019-07-01,뷰티,기초 화장용 오일/앰플,25,68,29,88,27,70,10,21,4,13
2019-07-01,뷰티,기초 화장용 크림,132,443,239,780,192,540,77,204,29,49
2019-07-01,식품,기타 농산물,2,8,13,28,18,32,4,10,4,5
2019-07-01,식품,기타 주스류,16,21,41,83,61,56,16,25,4,11
2019-07-01,식품,기타 한방/환제품,,,,1,3,2,2,2,,
2019-07-01,식품,김치류,9,24,28,67,54,128,33,65,5,14
2019-07-01,식품,꽃게,2,5,3,5,,2,4,6,,1
2019-07-01,식품,나물,2,13,11,18,8,17,2,12,1,2
2019-07-01,식품,낙지,1,4,5,8,12,13,6,7,3,4
2019-07-01,뷰티,남성 로션,8,2,18,13,16,14,9,8,,3
2019-07-01,뷰티,남성 메이크업,9,,2,1,1,6,,2,1,
2019-07-01,뷰티,남성 선케어,1,,,4,3,3,1,,1,1
2019-07-01,뷰티,남성 세트,13,9,17,19,17,25,11,9,3,2
2019-07-01,뷰티,남성 쉐이빙,11,3,15,12,15,12,3,5,,2
2019-07-01,뷰티,남성 스킨,4,3,15,14,9,10,8,11,3,2
2019-07-01,뷰티,남성 에센스,14,10,20,20,19,20,9,6,2,2
2019-07-01,뷰티,남성 크림,3,,1,2,,2,4,,,
2019-07-01,뷰티,남성 클렌징,4,1,6,6,4,8,3,2,,1
2019-07-01,냉난방가전,냉풍기,1,3,9,15,16,14,4,5,2,2
2019-07-01,뷰티,네일 메이크업 용품,25,289,110,454,82,262,23,61,5,15
2019-07-01,뷰티,네일관리 소품,1,2,2,9,,6,,,,
2019-07-01,뷰티,네일리무버,3,6,3,11,6,4,1,2,,4
2019-07-01,뷰티,네일세트,,3,,4,,4,,1,,
2019-07-01,뷰티,네일아트,2,5,2,6,,4,1,1,,
2019-07-01,뷰티,네일컬러,2,15,5,32,5,17,3,3,,
2019-07-01,뷰티,네일케어,3,16,4,16,8,9,3,4,,2
2019-07-01,식품,녹차,2,6,7,8,14,8,11,5,3,2
2019-07-01,식품,느타리버섯,,2,1,11,3,8,,2,,
2019-07-01,식품,다이어트보조식,107,131,90,177,77,173,27,76,5,15
2019-07-01,식품,다이어트용 헬스보충식품,78,31,49,26,27,23,12,21,2,1
2019-07-01,식품,닭 양념육,1,2,,4,2,2,,,,1
2019-07-01,식품,닭가슴살,182,204,162,214,45,110,33,59,13,12
2019-07-01,식품,대게/킹크랩,,1,4,5,,1,,,,
2019-07-01,식품,더치커피,9,15,17,47,19,31,9,11,5,2
2019-07-01,뷰티,데오드란트,6,16,19,34,18,31,5,9,1,
2019-07-01,식품,도라지/더덕,,8,2,16,12,15,4,7,1,8
2019-07-01,냉난방가전,돈풍기,,1,2,,,,,,,
2019-07-01,식품,돼지 곱창,128,299,137,271,45,87,18,23,5,5
2019-07-01,식품,두유,26,145,173,387,186,364,97,195,41,46
2019-07-01,식품,둥굴레차,,1,2,3,5,3,6,1,2,
2019-07-01,식품,딸기/복분자/블루베리,5,5,12,35,21,32,6,7,1,5
2019-07-01,식품,딸기우유,,2,14,16,10,10,1,1,,
2019-07-01,냉난방가전,라디에이터,,,,,,,1,,,
2019-07-01,식품,랍스타,,1,5,2,,1,,,1,
2019-07-01,식품,레몬/자몽,5,27,23,46,19,41,6,15,4,3
2019-07-01,식품,루테인/눈 영양제,13,26,41,87,59,116,48,62,21,19
2019-07-01,뷰티,린스,4,11,23,37,17,30,3,13,3,2
2019-07-01,뷰티,립앤아이 리무버,3,23,7,25,3,9,,6,,
2019-07-01,식품,마늘/생강,5,4,12,25,16,26,7,14,4,10
2019-07-01,냉난방가전,멀티형 에어컨,1,5,1,8,2,7,2,1,1,
2019-07-01,뷰티,메이크업 박스,2,17,2,19,6,9,1,4,,
2019-07-01,뷰티,메이크업 브러쉬,15,98,15,74,8,38,3,12,2,4
2019-07-01,식품,메추리알,1,6,5,23,4,9,,1,,
2019-07-01,식품,명태/동태,,2,1,8,2,1,,1,,
2019-07-01,식품,무/배추,,,1,3,,3,1,2,,2
2019-07-01,식품,무김치,6,10,30,59,46,94,30,81,8,20
2019-07-01,식품,문어,,2,4,4,5,6,1,2,1,3
2019-07-01,식품,물김치,,1,3,4,2,9,5,7,,3
2019-07-01,식품,미나리,,,,3,2,1,,,,
2019-07-01,식품,미숫가루/곡물가루,7,8,12,26,12,22,6,14,,2
2019-07-01,뷰티,미용가위,,1,1,5,1,6,,2,,
2019-07-01,식품,믹스 채소,,1,,9,,6,,2,,
2019-07-01,식품,밀크티/티라떼,17,91,18,70,9,34,11,1,,
2019-07-01,식품,바나나/파인애플/망고,14,26,25,100,43,119,16,28,,6
2019-07-01,식품,바나나우유,5,9,19,31,11,19,3,2,2,
2019-07-01,뷰티,바디 보습제,22,95,31,172,42,102,16,29,7,14
2019-07-01,뷰티,바디 세트,2,21,6,10,9,7,1,3,1,1
2019-07-01,뷰티,바디 스크럽,2,13,5,14,5,22,1,12,1,2
2019-07-01,뷰티,바디 클렌져,38,101,94,208,63,150,29,50,8,14
2019-07-01,뷰티,바디케어용 땀패드,1,4,1,6,1,4,1,2,,
2019-07-01,뷰티,바디케어용 때비누,2,,1,4,4,5,2,5,,
2019-07-01,뷰티,바디케어용 볼륨업크림,1,4,2,5,,2,,,,
2019-07-01,뷰티,바디케어용 슬리밍,,4,1,4,2,5,,3,,
2019-07-01,뷰티,바디케어용 제모제,16,22,15,27,4,10,2,2,,2
2019-07-01,뷰티,바디케어용 청 결제,5,29,17,48,12,49,2,17,1,5
2019-07-01,식품,반건조고구마,,10,8,23,13,21,4,3,1,
2019-07-01,식품,반찬류,5,12,25,46,20,34,6,25,4,6
2019-07-01,식품,배/포도/과일즙,3,38,27,72,31,46,9,18,4,1
2019-07-01,식품,배추김치,10,26,40,91,78,251,62,192,21,64
2019-07-01,식품,백김치,,1,1,,3,2,1,1,1,
2019-07-01,뷰티,베이스 메이크업 세트,1,1,,3,4,10,,1,,
2019-07-01,뷰티,베이스 메이크업용 BB크림,8,19,11,27,7,24,5,6,,4
2019-07-01,뷰티,베이스 메이크업용 CC크림,1,,6,5,1,1,1,1,,
2019-07-01,뷰티,베이스 메이크업용 가루파우더,3,17,3,28,7,7,2,5,,
2019-07-01,뷰티,베이스 메이크업용 메이크업베이스,9,29,9,32,3,17,3,3,1,1
2019-07-01,뷰티,베이스 메이크업용 컨실러,6,44,15,31,9,20,5,6,3,1
2019-07-01,뷰티,베이스 메이크업용 쿠션팩트,12,158,39,209,52,226,20,59,1,16
2019-07-01,뷰티,베이스 메이크업용 트윈케이크,6,5,,3,2,4,3,,,1
2019-07-01,뷰티,베이스 메이크업용 파우더팩트,4,64,14,89,21,75,5,22,3,6
2019-07-01,뷰티,베이스 메이크업용 파운데이션,16,235,37,228,67,167,19,55,1,7
2019-07-01,뷰티,베이스 메이크업용 프라이머,4,34,8,44,10,30,8,3,1,3
2019-07-01,냉난방가전,벽걸이 에어컨,7,13,14,10,16,21,9,16,2,5
2019-07-01,냉난방가전,벽걸이형 냉온풍기,,,1,,,,1,,,1
2019-07-01,냉난방가전,벽걸이형 선풍기,,1,7,4,15,15,10,6,7,2
2019-07-01,식품,보리차,,6,12,17,8,3,2,3,,3
2019-07-01,냉난방가전,보일러,,,,,,,,,1,
2019-07-01,식품,복분자/석류/과실즙,12,31,23,83,57,118,26,59,10,19
2019-07-01,냉난방가전,복합식 가습기,1,1,,1,2,,,,,1
2019-07-01,식품,부추,,3,2,9,2,6,,3,1,
2019-07-01,뷰티,뷰티 눈썹정리도구,,8,4,17,3,5,3,,,1
2019-07-01,뷰티,뷰티 속눈썹/쌍꺼풀,2,23,10,28,2,17,1,3,1,3
2019-07-01,뷰티,뷰티 손거울,1,8,2,11,4,11,1,2,1,
2019-07-01,뷰티,뷰티 타투,19,27,7,19,4,12,1,2,,
2019-07-01,뷰티,뷰티 헤어캡,1,2,2,2,,1,1,1,1,
2019-07-01,뷰티,뷰티 화장솜,10,79,20,74,10,28,4,18,,2
2019-07-01,뷰티,뷰티 화장품 공병/케이스,4,7,9,6,5,8,1,1,,
2019-07-01,뷰티,뷰티용 기름종이,7,17,5,17,5,9,,1,,1
2019-07-01,뷰티,뷰티용 면봉/귀이개,10,16,18,43,24,19,5,5,,
2019-07-01,뷰티,뷰티용 뷰러,,23,3,13,,13,2,1,,1
2019-07-01,뷰티,뷰티용 샤프너,1,2,,4,1,1,,,,
2019-07-01,뷰티,뷰티용 여드름압출기,3,4,6,12,5,6,1,,,1
2019-07-01,식품,브로콜리/셀러리,7,17,9,17,10,13,,1,,1
2019-07-01,식품,비타민,56,81,103,226,134,174,64,103,29,18
2019-07-01,식품,비타민/화이바 음료,5,22,15,20,22,24,18,16,8,6
2019-07-01,식품,삼치,1,1,4,5,,7,1,4,1,
2019-07-01,식품,상황버섯,,,,3,,,,,,
2019-07-01,식품,새송이버섯,,2,1,18,4,7,1,2,1,1
2019-07-01,식품,새우/대하,5,15,11,26,6,13,2,5,,2
2019-07-01,뷰티,색조 메이크업 립글로스,,3,,3,2,5,1,1,,
2019-07-01,뷰티,색조 메이크업 립라이너,,4,1,4,1,,,,,1
2019-07-01,뷰티,색조 메이크업 립밤,10,18,11,45,14,21,1,8,,
2019-07-01,뷰티,색조 메이크업 립스틱,12,106,32,124,23,77,11,31,2,3
2019-07-01,뷰티,색조 메이크업 립틴트,24,221,41,184,25,59,7,15,5,
2019-07-01,뷰티,색조 메이크업 마스카라,2,45,13,49,10,21,4,14,,1
2019-07-01,뷰티,색조 메이크업 볼터치,2,66,9,33,5,15,,8,,1
2019-07-01,뷰티,색조 메이크업 속눈썹영양제,3,9,2,12,9,8,1,6,2,
2019-07-01,뷰티,색조 메이크업 쉐딩/하이라이터,,21,5,26,5,12,1,,1,
2019-07-01,뷰티,색조 메이크업 아이라이너,8,80,18,80,14,41,5,17,3,1
2019-07-01,뷰티,색조 메이크업 아이브로우,7,78,27,84,19,65,6,11,3,3
2019-07-01,뷰티,색조 메이크업 아이섀도우,14,125,17,57,11,46,9,13,4,7
2019-07-01,식품,생닭/닭부분육,2,8,7,18,6,14,4,8,1,
2019-07-01,식품,생선류,12,13,14,31,14,22,7,20,2,
2019-07-01,식품,생수,131,254,351,634,290,503,201,219,68,52
2019-07-01,식품,생식/선식 분말,,2,1,5,4,6,1,5,3,
2019-07-01,뷰티,샤워코롱,1,2,1,3,3,,,1,,
2019-07-01,뷰티,샴푸,91,261,291,555,314,585,140,157,28,36
2019-07-01,뷰티,선로션,3,17,5,18,5,28,,10,,4
2019-07-01,뷰티,선스프레이,1,7,3,5,,,,2,,
2019-07-01,식품,선식,6,4,3,7,1,10,2,3,,
2019-07-01,뷰티,선케어용 선밤,5,46,45,83,44,77,7,18,8,1
2019-07-01,뷰티,선크림,23,79,68,135,42,92,13,38,8,10
2019-07-01,뷰티,세안도구,7,9,4,16,3,7,,1,,2
2019-07-01,식품,소고기 등심/안심,,4,3,6,4,7,,2,2,
2019-07-01,식품,소고기 육회,42,67,45,94,90,132,25,20,2,2
2019-07-01,뷰티,손톱정리도구,,1,2,4,3,3,4,1,,1
2019-07-01,식품,수산 생물,21,19,33,48,30,49,20,26,4,10
2019-07-01,식품,수입우육,9,15,23,37,28,38,9,18,4,3
2019-07-01,식품,숙취/에너지/건강 음료,9,23,27,42,41,27,19,11,11,3
2019-07-01,뷰티,스크럽/필링크림,14,50,28,65,7,40,5,7,4,2
2019-07-01,뷰티,스킨케어 곡물팩,,2,1,2,2,1,,2,,
2019-07-01,뷰티,스킨케어 마스크팩,43,201,70,261,55,124,27,37,5,13
2019-07-01,뷰티,스킨케어 수면팩,2,13,2,14,4,14,4,2,,
2019-07-01,뷰티,스킨케어 시트마스크팩,13,60,20,70,23,45,7,20,3,6
2019-07-01,뷰티,스킨케어 워시오프팩,1,7,1,5,3,3,2,3,,
2019-07-01,뷰티,스킨케어 코팩,8,39,20,50,16,45,8,13,4,5
2019-07-01,뷰티,스킨케어 필오프팩,1,12,4,15,,8,3,3,,
2019-07-01,냉난방가전,스탠드형 냉온풍기,1,,4,4,4,2,1,1,1,1
2019-07-01,냉난방가전,스탠드형 에어컨,,1,2,13,15,17,5,12,6,9
2019-07-01,식품,스피루리나 영양제,2,,,10,3,5,2,6,1,1
2019-07-01,식품,시금치,,2,2,22,7,4,2,,3,1
2019-07-01,식품,식혜/수정과,2,2,7,16,8,15,4,4,4,2
2019-07-01,식품,쌀,22,55,168,284,189,372,115,201,48,79
2019-07-01,식품,쌈채소,7,20,18,48,25,41,11,14,3,3
2019-07-01,식품,아몬드유/코코넛밀크,3,38,12,47,17,38,9,11,3,2
2019-07-01,식품,아이스티,1,15,20,24,11,24,10,9,2,2
2019-07-01,뷰티,애프터선,7,15,32,56,26,28,1,8,,6
2019-07-01,식품,야채/호박즙,20,60,27,99,32,56,21,35,8,2
2019-07-01,식품,양념 돈육,,,6,12,8,7,3,2,,
2019-07-01,식품,양념우육,4,11,11,7,6,7,,1,1,
2019-07-01,식품,양배추/양상추,,7,2,12,5,9,,7,1,1
2019-07-01,식품,양파/마늘즙,3,2,13,17,20,28,7,17,3,5
2019-07-01,식품,어란(생선알),,,1,5,,2,1,2,,
2019-07-01,식품,어린이 음료,1,5,16,27,10,7,,1,,1
2019-07-01,식품,어린이영양제,8,14,68,109,29,32,2,4,3,1
2019-07-01,식품,어린이홍삼,1,2,38,61,14,55,4,10,,2
2019-07-01,식품,어린잎/새싹채소,,2,3,12,3,7,1,8,,
2019-07-01,냉난방가전,업소용 선풍기,,1,8,6,15,5,15,7,8,
2019-07-01,냉난방가전,에어워셔,,,1,2,,,,,,
2019-07-01,냉난방가전,에어커튼,,,,,,,,1,,
2019-07-01,냉난방가전,에어컨 리모컨,1,2,10,3,13,3,8,3,2,
2019-07-01,식품,에이드,11,18,11,24,7,13,2,5,,
2019-07-01,식품,연어/훈제연어,1,11,5,7,4,6,1,6,,
2019-07-01,식품,오리고기/훈제오리,4,18,15,26,19,66,11,24,5,5
2019-07-01,식품,오메가3/스쿠알렌 영양제,12,22,31,85,46,77,18,32,18,6
2019-07-01,식품,오이/가지,,4,9,18,14,22,1,6,1,1
2019-07-01,식품,오징어,1,12,13,32,15,32,2,5,1,
2019-07-01,식품,옥돔,,,1,1,1,,,1,,
2019-07-01,식품,옥수수,4,21,43,152,67,137,28,47,9,14
2019-07-01,식품,옥수수차,1,3,3,10,9,5,6,2,4,
2019-07-01,냉난방가전,온수매트,,1,,,3,,1,2,,
2019-07-01,냉난방가전,온열매트,7,4,52,21,68,28,22,12,6,5
2019-07-01,냉난방가전,온풍기,,,,,,,2,,,
2019-07-01,식품,옻/칡/쑥즙,,1,4,8,3,7,3,6,2,
2019-07-01,식품,요거트/발효유,9,40,41,150,41,83,18,25,2,9
2019-07-01,식품,우엉/연근,,,1,,,1,,,,
2019-07-01,식품,원두커피,21,43,83,106,108,117,60,42,15,15
2019-07-01,식품,윙봉/닭다리/날개,,1,1,3,3,4,1,3,,
2019-07-01,식품,유자차,1,1,3,8,5,5,2,5,,
2019-07-01,식품,유제품 음료,9,37,35,103,39,59,17,28,3,2
2019-07-01,식품,율무차,,,4,4,4,4,5,2,3,
2019-07-01,식품,음용 식초,,6,8,14,7,12,2,6,1,1
2019-07-01,냉난방가전,의류건조기,5,15,32,51,31,32,4,17,6,10
