날짜,대분류,소분류,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
2018-01-01,식품,가공란,13,37,6,16,6,9,,3,,
2018-01-01,냉난방가전,가열식 가습기,1,1,,,2,3,,,,
2018-01-01,식품,가자미,,3,2,5,1,4,3,2,1,
2018-01-01,식품,갈비/찜/바비큐용 돈육,,7,7,4,1,2,,1,,
2018-01-01,식품,갈비용 우육,,1,,,,1,,,,
2018-01-01,식품,갈치,,2,3,17,1,8,2,4,2,4
2018-01-01,식품,감/홍시,1,6,5,9,9,10,1,5,1,3
2018-01-01,식품,감귤/한라봉/오렌지,33,105,68,179,99,223,43,104,7,22
2018-01-01,식품,감마리놀렌산 영양제,,3,2,7,4,8,1,7,,2
2018-01-01,식품,감말랭이,,1,9,5,3,6,1,2,,
2018-01-01,식품,감자,33,40,27,53,11,23,2,14,,3
2018-01-01,식품,갓김치,1,,1,3,5,5,,8,3,
2018-01-01,식품,건강즙,2,2,6,10,8,13,2,3,,
2018-01-01,식품,건강즙/녹용,,6,9,17,6,18,5,6,3,
2018-01-01,식품,건대추,,,2,8,3,4,1,3,2,
2018-01-01,식품,건망고,,,1,2,2,,,,,
2018-01-01,식품,건바나나,,5,1,5,2,5,,2,,
2018-01-01,식품,건어물 건새우,,,,2,1,,,,,
2018-01-01,식품,건어물 노가리,,,,1,1,2,,1,,
2018-01-01,식품,건어물 마른오징어,16,19,31,49,17,36,,13,,3
2018-01-01,식품,건어물 멸치,,2,4,16,14,12,4,5,1,2
2018-01-01,식품,건어물 쥐포,1,2,7,21,8,18,2,8,1,1
2018-01-01,식품,건어물 진미채,,1,3,4,4,4,,,,
2018-01-01,식품,건어물 황태,1,2,4,10,6,11,4,5,3,1
2018-01-01,식품,건자두,1,4,6,12,8,2,1,3,,
2018-01-01,식품,건포도,,1,,1,,,,3,,
2018-01-01,식품,게장류,6,11,16,17,13,35,6,14,5,4
2018-01-01,식품,견과류,5,18,24,62,22,71,9,31,2,12
2018-01-01,식품,견과류 땅콩,,,2,7,11,2,2,7,1,
2018-01-01,식품,견과류 마카다미아,1,2,2,7,2,4,1,3,,
2018-01-01,식품,견과류 밤,1,6,14,34,14,37,8,8,1,6
2018-01-01,식품,견과류 잣/은행,,,1,1,1,3,,3,,2
2018-01-01,식품,견과류 카카오닙스,1,4,1,10,4,12,2,8,4,1
2018-01-01,식품,견과류 캐슈넛,,,,2,,1,,1,,
2018-01-01,식품,견과류 피스타치오,,3,1,,1,1,,,,
2018-01-01,식품,견과류 호두,1,3,5,13,5,8,,6,1,3
2018-01-01,식품,계란,,11,13,38,10,36,3,7,,1
2018-01-01,식품,고등어,3,5,8,23,12,24,4,8,3,1
2018-01-01,식품,고추/피망/파프리카,3,3,3,28,4,13,1,6,,1
2018-01-01,식품,곡물차,1,2,8,22,8,22,1,7,,1
2018-01-01,냉난방가전,공기정화 용품,2,10,18,35,24,14,12,2,1,2
2018-01-01,냉난방가전,공기청정기,2,1,26,28,18,16,4,6,3,2
2018-01-01,식품,곶감/반건시,2,4,4,15,3,14,5,4,2,1
2018-01-01,식품,과실차,5,16,6,14,9,7,1,3,2,3
2018-01-01,식품,과일류,,8,10,11,4,12,6,4,1,1
2018-01-01,식품,과일세트,,1,,1,1,4,,,,
2018-01-01,식품,과채 음료/주스,15,55,26,105,19,30,4,14,1,5
2018-01-01,식품,국내산 돈육,,1,4,11,3,5,,1,,
2018-01-01,식품,굴 생물,4,3,7,17,6,20,6,20,2,5
2018-01-01,식품,굴비/조기,2,6,3,6,5,15,2,8,,2
2018-01-01,식품,글루코사민/키토산 영양제,1,2,4,6,1,10,4,3,1,2
2018-01-01,뷰티,기능성 링클케어 화장품,,2,,,,1,,,,
2018-01-01,뷰티,기능성 모공관리 화장품,3,7,1,3,4,1,,,1,
2018-01-01,뷰티,기능성 아이케어 화장품,43,57,26,83,20,81,8,33,11,2
2018-01-01,뷰티,기능성 영양보습 화장품,3,3,,1,,1,,2,,3
2018-01-01,뷰티,기능성 트러블케어 화장품,4,14,1,13,,5,4,3,,
2018-01-01,뷰티,기능성 화장품 세트,,2,1,3,,2,,1,,
2018-01-01,뷰티,기초 화장용 로션,38,72,59,142,36,97,15,30,,11
2018-01-01,뷰티,기초 화장용 미스트,3,34,7,43,11,16,5,6,2,1
2018-01-01,뷰티,기초 화장용 스킨,30,154,42,110,20,93,15,41,6,5
2018-01-01,뷰티,기초 화장용 에센스,27,155,80,366,88,391,40,148,10,22
2018-01-01,뷰티,기초 화장용 오일/앰플,8,62,18,66,10,42,9,13,3,3
2018-01-01,뷰티,기초 화장용 크림,172,476,223,862,152,700,84,282,21,53
2018-01-01,식품,기타 농산물,2,7,8,14,14,26,12,14,2,6
2018-01-01,식품,기타 주스류,9,18,18,53,7,19,4,4,1,3
2018-01-01,식품,기타 한방/환제품,4,1,,5,3,,,1,,
2018-01-01,식품,김치류,7,16,12,25,13,38,9,17,3,4
2018-01-01,식품,꽃게,,2,1,6,,1,,3,1,
2018-01-01,식품,나물,4,2,1,10,13,11,1,3,1,2
2018-01-01,식품,낙지,1,10,14,36,32,74,10,39,6,5
2018-01-01,뷰티,남성 로션,9,9,11,23,13,20,6,4,3,1
2018-01-01,뷰티,남성 메이크업,9,6,5,1,2,1,,1,,
2018-01-01,뷰티,남성 선케어,,,2,,1,,1,1,,
2018-01-01,뷰티,남성 세트,9,14,24,21,14,23,5,6,3,2
2018-01-01,뷰티,남성 쉐이빙,5,2,9,12,4,5,1,2,1,
2018-01-01,뷰티,남성 스킨,11,8,11,9,11,5,4,2,2,1
2018-01-01,뷰티,남성 에센스,17,8,24,15,7,16,4,5,2,1
2018-01-01,뷰티,남성 크림,6,1,1,2,1,,,1,,
2018-01-01,뷰티,남성 클렌징,1,1,5,,2,2,,1,,
2018-01-01,냉난방가전,냉풍기,,,,,,1,,,,
2018-01-01,뷰티,네일 메이크업 용품,13,75,20,102,26,60,4,27,,1
2018-01-01,뷰티,네일관리 소품,,3,1,5,1,3,1,,,1
2018-01-01,뷰티,네일리무버,,3,1,4,1,,,,,
2018-01-01,뷰티,네일세트,,3,,1,,,1,,,
2018-01-01,뷰티,네일컬러,2,2,,12,1,4,,,,
2018-01-01,뷰티,네일케어,,4,3,4,5,8,,,,
2018-01-01,식품,녹차,,2,3,3,5,10,8,3,,1
2018-01-01,식품,느타리버섯,2,,1,8,1,1,1,,,
2018-01-01,식품,다이어트보조식,50,159,39,167,35,172,24,84,2,13
2018-01-01,식품,다이어트용 헬스보충식품,18,10,18,7,10,6,4,10,,1
2018-01-01,식품,닭 양념육,1,,1,2,,,,,,
2018-01-01,식품,닭가슴살,67,114,68,113,22,52,15,28,3,2
2018-01-01,식품,대게/킹크랩,,1,5,2,7,3,,4,1,
2018-01-01,식품,더치커피,1,7,4,12,4,6,1,3,,
2018-01-01,뷰티,데오드란트,3,2,1,9,6,1,,2,,
2018-01-01,식품,도라지/더덕,2,4,,5,1,10,,,1,
2018-01-01,냉난방가전,돈풍기,,,1,,1,,,,,
2018-01-01,식품,돼지 곱창,74,150,86,137,28,28,11,9,,1
2018-01-01,식품,두유,21,89,85,216,51,148,27,70,9,19
2018-01-01,식품,둥굴레차,1,3,3,9,2,4,4,1,,
2018-01-01,식품,딸기/복분자/블루베리,5,8,9,48,7,24,,5,,1
2018-01-01,식품,딸기우유,5,5,5,21,2,11,2,2,,
2018-01-01,냉난방가전,라디에이터,,,1,3,,2,2,1,,1
2018-01-01,식품,랍스타,1,1,2,3,1,1,,1,,
2018-01-01,식품,레몬/자몽,6,18,11,18,8,22,3,2,2,2
2018-01-01,식품,루테인/눈 영양제,9,21,30,34,45,54,18,23,5,10
2018-01-01,뷰티,린스,2,13,19,33,11,13,6,6,,
2018-01-01,뷰티,립앤아이 리무버,,15,1,16,3,11,1,3,,
2018-01-01,식품,마/야콘,,,,1,,,,,,
2018-01-01,식품,마늘/생강,3,3,7,14,5,12,2,3,,2
2018-01-01,뷰티,메이크업 박스,,,,2,,3,,1,,
2018-01-01,뷰티,메이크업 브러쉬,4,97,5,48,6,27,5,5,1,
2018-01-01,식품,메추리알,1,3,4,7,2,2,1,1,,
2018-01-01,식품,명태/동태,,1,,4,2,1,,,,
2018-01-01,식품,무/배추,,1,2,4,1,2,1,1,,
2018-01-01,식품,무김치,1,5,5,13,8,18,2,5,3,1
2018-01-01,식품,문어,1,1,3,5,,,2,1,,
2018-01-01,식품,물김치,1,,2,1,2,3,2,3,,
2018-01-01,식품,미나리,,2,,3,,1,,1,,
