날짜,대분류,소분류,20M,20F,30M,30F,40M,40F,50M,50F,60M,60F
2018-07-01,식품,가공란,13,28,28,47,20,62,13,29,5,3
2018-07-01,냉난방가전,가열식 가습기,,,,,1,,,,,
2018-07-01,식품,가자미,,,1,3,2,4,,2,1,2
2018-07-01,식품,갈비/찜/바비큐용 돈육,,3,,4,2,4,,2,,
2018-07-01,식품,갈비용 우육,1,2,1,1,1,,1,,,
2018-07-01,식품,갈치,1,,6,22,3,32,5,18,2,2
2018-07-01,식품,감/홍시,,2,2,2,1,9,1,1,,1
2018-07-01,식품,감귤/한라봉/오렌지,,9,9,19,10,14,1,1,,2
2018-07-01,식품,감마리놀렌산 영양제,2,3,2,1,1,6,3,2,,
2018-07-01,식품,감말랭이,,1,,,,2,1,1,,
2018-07-01,식품,감자,8,16,10,30,18,29,13,34,6,7
2018-07-01,식품,갓김치,,,1,2,5,11,3,7,1,4
2018-07-01,식품,건강즙,2,10,8,29,12,28,11,20,1,
2018-07-01,식품,건강즙/녹용,,1,9,6,10,7,2,4,,
2018-07-01,식품,건대추,,1,1,7,1,4,2,1,,3
2018-07-01,식품,건망고,1,,,2,,5,,,,
2018-07-01,식품,건바나나,,1,2,2,3,5,,,,
2018-07-01,식품,건어물 노가리,2,,,,,1,1,1,,
2018-07-01,식품,건어물 마른오징어,,11,23,50,11,28,6,11,1,
2018-07-01,식품,건어물 멸치,,1,5,14,6,12,3,4,1,1
2018-07-01,식품,건어물 쥐포,2,4,14,31,20,42,4,7,,6
2018-07-01,식품,건어물 진미채,,,1,12,1,7,2,4,,
2018-07-01,식품,건어물 황태,,3,3,8,4,10,1,4,,3
2018-07-01,식품,건자두,1,9,12,18,6,12,4,5,4,2
2018-07-01,식품,건포도,2,3,1,1,1,1,,,1,
2018-07-01,식품,게장류,2,7,8,12,4,5,2,3,,1
2018-07-01,식품,견과류,3,9,12,46,18,29,8,18,3,5
2018-07-01,식품,견과류 땅콩,1,,1,10,4,12,4,5,1,4
2018-07-01,식품,견과류 마카다미아,,1,,,1,2,,1,2,1
2018-07-01,식품,견과류 밤,,2,7,34,11,28,2,5,,2
2018-07-01,식품,견과류 잣/은행,,,1,2,2,3,4,1,1,2
2018-07-01,식품,견과류 카카오닙스,,4,2,8,1,5,1,6,,
2018-07-01,식품,견과류 캐슈넛,1,2,,1,,2,1,1,,
2018-07-01,식품,견과류 피스타치오,,,,1,,,,1,,
2018-07-01,식품,견과류 호두,5,1,4,11,3,8,2,7,3,1
2018-07-01,식품,계란,5,22,20,56,19,39,6,16,2,3
2018-07-01,식품,고등어,4,5,21,37,15,39,5,18,6,8
2018-07-01,식품,고추/피망/파프리카,1,7,9,23,13,14,2,11,,2
2018-07-01,식품,곡물차,1,2,2,6,3,3,,3,,1
2018-07-01,냉난방가전,공기정화 용품,4,12,20,34,18,19,4,13,,
2018-07-01,냉난방가전,공기청정기,2,2,7,15,9,24,1,2,2,1
2018-07-01,식품,곶감/반건시,,,,2,,4,2,,,
2018-07-01,식품,과실차,2,2,1,9,3,5,4,3,3,
2018-07-01,식품,과일류,2,15,14,33,10,33,10,17,3,3
2018-07-01,식품,과일세트,1,,,,,,,,,
2018-07-01,식품,과채 음료/주스,20,42,50,148,37,70,13,21,7,10
2018-07-01,식품,구이/수육용 돈육,,,,,1,,,,,
2018-07-01,식품,국내산 돈육,1,2,4,10,3,4,,2,,
2018-07-01,식품,굴 생물,,1,1,,,1,,,,
2018-07-01,식품,굴비/조기,3,2,3,11,7,9,3,6,1,1
2018-07-01,식품,글루코사민/키토산 영양제,2,13,9,13,6,6,2,3,3,2
2018-07-01,뷰티,기능성 모공관리 화장품,7,10,1,9,1,3,,,,
2018-07-01,뷰티,기능성 아이케어 화장품,9,46,19,125,33,108,12,57,1,13
2018-07-01,뷰티,기능성 영양보습 화장품,,4,,3,,1,,,,
2018-07-01,뷰티,기능성 트러블케어 화장품,2,16,4,13,,4,1,,2,
2018-07-01,뷰티,기능성 화장품 세트,,,1,,1,2,,1,,
2018-07-01,뷰티,기초 화장용 로션,20,55,23,86,18,45,13,15,5,6
2018-07-01,뷰티,기초 화장용 미스트,5,38,20,39,5,13,4,6,,
2018-07-01,뷰티,기초 화장용 스킨,37,93,44,112,30,73,17,29,6,6
2018-07-01,뷰티,기초 화장용 에센스,24,153,67,261,57,233,17,73,7,18
2018-07-01,뷰티,기초 화장용 오일/앰플,10,56,14,72,12,26,6,11,1,2
2018-07-01,뷰티,기초 화장용 크림,71,266,127,496,97,437,49,190,19,51
2018-07-01,식품,기타 농산물,1,2,6,23,10,17,7,14,3,6
2018-07-01,식품,기타 주스류,4,19,13,50,19,25,5,9,1,
2018-07-01,식품,기타 한방/환제품,,,,3,4,3,1,1,,2
2018-07-01,식품,김치류,12,26,23,51,28,75,13,35,7,6
2018-07-01,식품,꽃게,1,2,2,4,2,4,,1,,
2018-07-01,식품,나물,1,3,,17,,8,4,,1,
2018-07-01,식품,낙지,6,23,39,122,62,226,36,117,7,26
2018-07-01,뷰티,남성 로션,5,2,9,10,8,6,8,1,1,
2018-07-01,뷰티,남성 메이크업,9,2,7,3,1,1,,,,
2018-07-01,뷰티,남성 선케어,1,,2,2,,1,1,,,
2018-07-01,뷰티,남성 세트,3,3,7,6,9,7,6,7,,2
2018-07-01,뷰티,남성 쉐이빙,8,4,12,10,8,5,5,2,,1
2018-07-01,뷰티,남성 스킨,10,2,9,8,10,12,5,2,5,
2018-07-01,뷰티,남성 에센스,7,12,15,10,12,9,4,5,,
2018-07-01,뷰티,남성 크림,1,1,1,1,,,,,,
2018-07-01,뷰티,남성 클렌징,3,,3,5,4,6,,1,,
2018-07-01,냉난방가전,냉풍기,1,2,7,3,11,28,15,23,3,4
2018-07-01,뷰티,네일 메이크업 용품,23,211,66,309,34,134,15,28,1,4
2018-07-01,뷰티,네일관리 소품,,3,,6,,4,1,,,
2018-07-01,뷰티,네일리무버,1,6,1,9,,3,,1,,
2018-07-01,뷰티,네일세트,,5,4,12,1,2,,1,,
2018-07-01,뷰티,네일아트,1,,,1,,2,,,,
2018-07-01,뷰티,네일컬러,1,4,1,19,1,9,,1,2,
